sigmaMeanNormalized,nNormalized,Target
0.484084507,0.525213202,0.968169014
0.476126761,0.567778897,0.952253521
0.466707746,0.63919461,0.933415493
0.457288732,0.675138932,0.914577465
0.447887324,0.681287303,0.895774648
0.42181338,0.699732422,0.843626761
0.40443662,0.75412187,0.808873239
0.395739437,0.760270242,0.791478873
0.382711268,0.775404696,0.765422535
0.378362676,0.831212997,0.756725352
0.377640845,0.886075394,0.75528169
0.229190141,0.322788887,1.375140845
0.220017606,0.407920923,1.320105634
0.204571596,0.500146822,1.227429577
0.196842723,0.58196746,1.181056338
0.199982394,0.581494515,1.199894366
0.186707746,0.635883932,1.120246479
0.17536385,0.684597967,1.052183099
0.166672535,0.760743193,1.000035211
0.164019953,0.785809632,0.984119718
0.161842723,0.825537576,0.971056338
0.161602113,0.855333533,0.969612676
0,0.306709257,1.831338028
0,0.364409148,1.758908451
0,0.445284201,1.586584507
0,0.534199301,1.40556338
0,0.618384726,1.320105634
0,0.667571702,1.233204225
0,0.67986845,1.231760563
0,0.740879222,1.143415493
0,0.796214569,1.056514085
0,0.816078542,1.056514085
0,0.827429382,1.020316901
0,0.875197505,0.98556338
